# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,平均工作階段時間長度
000408,00:00:00
000409,00:00:00
000410,00:00:00
000411,00:00:00
000412,00:00:00
000413,00:00:00
000414,00:00:00
000415,00:00:00
000416,00:00:00
000417,00:00:00
000418,00:00:00
000419,00:00:00
000420,00:00:00
000421,00:00:00
000422,00:00:00
000423,00:00:00
000424,00:00:00
000425,00:00:00
000426,00:00:00
000427,00:00:00
000428,00:00:00
000429,00:00:00
000430,00:00:00
000431,00:00:00
000432,00:00:00
000433,00:00:00
000434,00:00:00
000435,00:00:00
000436,00:00:00
000437,00:00:00
000438,00:00:00
000439,00:00:00
000440,00:00:00
000441,00:00:00
000442,00:00:00
000443,00:00:00
000444,00:00:00
000445,00:00:00
000446,00:00:00
000447,00:00:00
000448,00:00:00
000449,00:00:00
000450,00:00:00
000451,00:00:00
000452,00:00:00
000453,00:00:00
000454,00:00:00
000455,00:00:00
000456,00:00:00
000457,00:00:00
000458,00:00:00
000459,00:00:00
000460,00:00:00
000461,00:00:00
000462,00:00:00
000463,00:00:00
000464,00:00:00
000465,00:00:00
000466,00:00:00
000467,00:00:00
000468,00:00:00
000469,00:00:00
000470,00:00:00
000471,00:00:00
000472,00:00:00
000473,00:00:00
000474,00:00:00
000475,00:00:00
000476,00:00:00
000477,00:00:00
000478,00:00:00
000479,00:00:00
000480,00:00:00
000481,00:00:00
000482,00:00:00
000483,00:00:00
000484,00:00:00
000485,00:00:00
000486,00:00:00
000487,00:00:00
000488,00:00:00
000489,00:00:00
000490,00:00:00
000491,00:00:00
000492,00:00:00
000493,00:00:00
000494,00:00:00
000495,00:00:00
000496,00:00:00
000497,00:00:00
000498,00:00:00
000499,00:00:00
000500,00:00:00
000501,00:00:00
000502,00:00:00
000503,00:00:00
000504,00:00:00
000505,00:00:00
000506,00:00:00
000507,00:00:00
000508,00:00:00
000509,00:00:00
000510,00:00:00
000511,00:00:00
000512,00:00:00
000513,00:00:00
000514,00:00:00
000515,00:00:00
000516,00:00:00
000517,00:00:00
000518,00:00:00
000519,00:00:00
000520,00:00:00
000521,00:00:00
000522,00:00:00
000523,00:00:00
000524,00:00:00
000525,00:00:00
000526,00:00:00
000527,00:00:00
000528,00:00:00
000529,00:00:00
000530,00:00:00
000531,00:00:00
000532,00:00:00
000533,00:00:00
000534,00:00:00
000535,00:00:00
000536,00:00:00
000537,00:00:00
000538,00:00:00
000539,00:00:00
000540,00:00:00
000541,00:00:00
000542,00:00:00
000543,00:00:00
000544,00:00:00
000545,00:00:00
000546,00:00:00
000547,00:00:00
000548,00:00:00
000549,00:00:00
000550,00:00:00
000551,00:00:00
000552,00:00:00
000553,00:00:00
000554,00:00:00
000555,00:00:00
000556,00:00:00
000557,00:00:00
000558,00:00:00
000559,00:00:00
000560,00:00:00
000561,00:00:00
000562,00:00:00
000563,00:00:00
000564,00:00:00
000565,00:00:00
000566,00:00:00
000567,00:00:00
000568,00:00:00
000569,00:00:00
000570,00:00:00
000571,00:00:00
000572,00:00:00
000573,00:00:00
000574,00:00:00
000575,00:00:00
000576,00:00:00
000577,00:00:00
000578,00:00:00
000579,00:00:00
000580,00:00:00
000581,00:00:00
000582,00:00:00
000583,00:00:00
000584,00:00:00
000585,00:00:00
000586,00:00:00
000587,00:00:00
000588,00:00:00
000589,00:00:00
000590,00:00:00
000591,00:00:00
000592,00:00:00
000593,00:00:00
000594,00:00:00
000595,00:00:00
000596,00:00:00
000597,00:00:00
000598,00:00:00
000599,00:00:00
000600,00:00:00
000601,00:00:00
000602,00:00:00
000603,00:00:00
000604,00:00:00
000605,00:00:00
000606,00:00:00
000607,00:00:00
000608,00:00:00
000609,00:00:00
000610,00:00:00
000611,00:00:00
000612,00:00:00
000613,00:00:00
000614,00:00:00
000615,00:00:00
000616,00:00:00
000617,00:00:00
000618,00:00:00
000619,00:00:00
000620,00:00:00
000621,00:00:00
000622,00:00:00
000623,00:00:00
000624,00:00:00
000625,00:00:00
000626,00:00:00
000627,00:00:00
000628,00:00:00
000629,00:00:00
000630,00:00:00
000631,00:00:00
000632,00:00:00
000633,00:00:00
000634,00:00:00
000635,00:00:00
000636,00:00:00
000637,00:00:00
000638,00:00:00
000639,00:00:00
000640,00:00:00
000641,00:00:00
000642,00:00:00
000643,00:00:00
000644,00:00:00
000645,00:00:00
000646,00:00:00
000647,00:00:00
000648,00:00:00
000649,00:00:00
000650,00:00:00
000651,00:00:00
000652,00:00:00
000653,00:00:00
000654,00:00:00
000655,00:00:00
000656,00:00:00
000657,00:00:00
000658,00:00:00
000659,00:00:00
000660,00:00:00
000661,00:00:00
000662,00:00:00
000663,00:00:00
000664,00:00:00
000665,00:00:00
000666,00:00:00
000667,00:00:00
000668,00:00:00
000669,00:00:00
000670,00:00:00
000671,00:00:00
000672,00:00:00
000673,00:00:00
000674,00:00:00
000675,00:00:00
000676,00:00:00
000677,00:00:00
000678,00:00:00
000679,00:00:00
000680,00:00:00
000681,00:00:00
000682,00:00:00
000683,00:00:00
000684,00:00:00
000685,00:00:00
000686,00:00:00
000687,00:00:00
000688,00:00:00
000689,00:00:00
000690,00:00:00
000691,00:00:00
000692,00:00:00
000693,00:00:00
000694,00:00:00
000695,00:00:00
000696,00:00:00
000697,00:00:00
000698,00:00:00
000699,00:00:00
000700,00:00:00
000701,00:00:00
000702,00:00:00
000703,00:00:00
000704,00:00:00
000705,00:00:00
000706,00:00:00
000707,00:00:00
000708,00:00:00
000709,00:00:00
000710,00:00:00
000711,00:00:00
000712,00:00:00
000713,00:00:00
000714,00:00:00
000715,00:00:00
000716,00:00:00
000717,00:00:00
000718,00:00:00
000719,00:00:00
000720,00:00:00
000721,00:00:00
000722,00:00:00
000723,00:00:00
000724,00:00:00
000725,00:00:00
000726,00:00:00
000727,00:00:00
000728,00:00:00
000729,00:00:00
000730,00:00:00
000731,00:00:00
000732,00:00:00
000733,00:00:00
000734,00:00:00
000735,00:00:00
000736,00:00:00
000737,00:00:00
000738,00:00:00
000739,00:00:00
000740,00:00:00
000741,00:00:00
000742,00:00:00
000743,00:00:00
000744,00:00:00
000745,00:00:00
000746,00:00:00
000747,00:00:00
000748,00:00:00
000749,00:00:00
000750,00:00:00
000751,00:00:00
000752,00:00:00
000753,00:00:00
000754,00:00:00
000755,00:00:00
000756,00:00:00
000757,00:00:00
000758,00:00:00
000759,00:00:00
000760,00:00:00
000761,00:00:00
000762,00:00:00
000763,00:00:00
000764,00:00:00
000765,00:00:00
000766,00:00:00
000767,00:00:00
000768,00:00:00
000769,00:05:02
000770,00:03:20
000771,00:00:11
000772,00:00:00
000773,00:00:00
000774,00:03:23
000775,00:01:09
000776,00:03:40
000777,00:08:44
000778,00:18:05
000779,00:06:05
000780,00:09:58
000781,00:02:40
000782,00:11:37
000783,00:06:52
000784,00:05:01
000785,00:08:52
000786,00:08:15
000787,00:07:56
000788,00:07:47
000789,00:06:28
000790,00:05:43
000791,00:04:18
000792,00:09:05
000793,00:09:37
000794,00:10:19
000795,00:04:45
000796,00:12:20
000797,00:00:00
000798,00:19:08
000799,00:11:36
000800,00:06:09
000801,00:09:16
000802,00:09:47
000803,00:04:25
000804,00:05:32
000805,00:09:10
000806,00:08:09
000807,00:05:56
000808,00:09:28
000809,00:09:37
000810,00:05:33
000811,00:02:20
000812,00:05:29
000813,00:04:24
000814,00:04:17
000815,00:01:55
000816,00:03:45
000817,00:07:09
000818,00:00:33
000819,00:02:54
000820,00:00:00
000821,00:00:00
000822,00:00:03
000823,00:00:04
000824,00:04:07
000825,00:02:35
000826,00:14:52
000827,00:04:35
000828,00:07:45
000829,00:10:04
000830,00:05:01
000831,00:02:45
000832,00:09:22
000833,00:04:43
000834,00:03:09
000835,00:17:52
000836,00:02:55
000837,00:04:00
000838,00:01:05
000839,00:05:05
000840,00:04:30
000841,00:06:43
000842,00:02:03
000843,00:02:57
000844,00:00:00
000845,00:00:00
000846,00:00:01
000847,00:05:53
000848,00:01:08
000849,00:06:24
000850,00:06:19
000851,00:09:42
000852,00:07:28
000853,00:02:16
000854,00:04:57
000855,00:05:40
000856,00:02:56
000857,00:05:31
000858,00:02:33
000859,00:04:31
000860,00:03:36
000861,00:03:49
000862,00:03:13
000863,00:02:07
000864,00:05:27
000865,00:00:59
000866,00:00:04
000867,00:01:14
000868,00:03:20
000869,00:00:16
000870,00:00:07
000871,00:02:52
000872,00:08:42
000873,00:02:25
000874,00:05:34
000875,00:06:19
000876,00:03:51
000877,00:02:40
000878,00:04:42
000879,00:11:07
000880,00:05:09
000881,00:03:17
000882,00:05:12
000883,00:06:01
000884,00:14:26
000885,00:06:20
000886,00:01:30
000887,00:01:43
000888,00:02:31
000889,00:03:07
000890,00:00:00
000891,00:00:00
000892,00:00:00
000893,00:00:00
000894,00:00:00
000895,00:00:00
000896,00:00:00
000897,00:00:00
000898,00:00:12
000899,00:03:26
000900,00:00:39
000901,00:00:00
000902,00:00:10
000903,00:01:10
000904,00:03:12
000905,00:02:55
000906,00:00:29
000907,00:04:51
000908,00:02:39
000909,00:01:47
000910,00:05:52
000911,00:02:20
000912,00:03:34
000913,00:01:01
000914,00:05:02
000915,00:00:00
000916,00:00:05
000917,00:00:00
000918,00:00:00
000919,00:02:09
000920,00:01:43
000921,00:05:28
000922,00:00:56
000923,00:00:37
000924,00:00:00
000925,00:00:53
000926,00:03:35
000927,00:00:00
000928,00:01:14
000929,00:01:51
000930,00:00:07
000931,00:02:49
000932,00:08:29
000933,00:08:44
000934,00:01:17
000935,00:02:57
000936,00:05:32
000937,00:04:17
000938,00:00:38
000939,00:00:00
000940,00:01:02
000941,00:00:00
000942,00:01:38
000943,00:00:00
000944,00:00:00
000945,00:00:41
000946,00:00:00
000947,00:00:21
000948,00:00:36
000949,00:00:12
000950,00:06:21
000951,00:12:01
000952,00:03:48
000953,00:04:04
000954,00:00:21
000955,00:00:00
000956,00:01:31
000957,00:02:35
000958,00:00:00
000959,00:03:40
000960,00:11:33
000961,00:00:29
000962,00:00:00
000963,00:00:00
000964,00:00:00
000965,00:00:00
000966,00:00:00
000967,00:00:00
000968,00:00:00
000969,00:00:00
000970,00:00:00
000971,00:00:00
000972,00:00:28
000973,00:00:00
000974,00:00:00
000975,00:03:41
000976,00:00:52
000977,00:00:07
000978,00:00:47
000979,00:00:00
000980,00:04:07
000981,00:00:00
000982,00:00:00
000983,00:03:21
000984,00:00:00
000985,00:00:33
000986,00:00:00
000987,00:00:00
000988,00:00:00
000989,00:00:00
000990,00:00:00
000991,00:00:00
000992,00:00:00
000993,00:01:49
000994,00:00:12
000995,00:03:54
000996,00:01:49
000997,00:01:30
000998,00:00:45
000999,00:00:00
001000,00:01:43
001001,00:00:00
001002,00:00:00
001003,00:00:00
001004,00:04:31
001005,00:00:00
001006,00:00:00
001007,00:01:57
001008,00:01:08
001009,00:00:00
001010,00:00:00
001011,00:00:00
001012,00:00:00
001013,00:00:00
001014,00:00:00
001015,00:00:00
001016,00:00:16
001017,00:02:36
001018,00:01:31
001019,00:10:16
001020,00:00:33
001021,00:00:19
001022,00:04:39
001023,00:01:44
001024,00:02:25
001025,00:04:20
001026,00:03:50
001027,00:01:19
001028,00:03:47
001029,00:03:14
001030,00:04:01
001031,00:03:26
001032,00:04:12
001033,00:02:55
001034,00:00:40
001035,00:00:00
001036,00:00:00
001037,00:00:00
001038,00:00:00
001039,00:05:03
001040,00:03:58
001041,00:05:55
001042,00:07:48
001043,00:06:50
001044,00:08:09
001045,00:05:24
001046,00:00:42
001047,00:02:50
001048,00:06:46
001049,00:02:49
001050,00:01:48
001051,00:07:05
001052,00:09:25
001053,00:03:36
001054,00:02:27
001055,00:07:04
001056,00:05:07
001057,00:01:19
001058,00:00:00
001059,00:00:00
001060,00:00:00
001061,00:00:42
001062,00:00:00
001063,00:00:48
001064,00:01:59
001065,00:01:42
001066,00:00:54
001067,00:01:15
001068,00:01:39
001069,00:24:27
001070,00:03:08
001071,00:00:07
001072,00:01:47
001073,00:00:26
001074,00:02:21
001075,00:05:17
001076,00:04:28
001077,00:03:57
001078,00:01:46
001079,00:06:51
001080,00:00:00
001081,00:00:00
001082,00:00:00
001083,00:00:00
001084,00:00:00
001085,00:00:00
001086,00:00:00
001087,00:00:00
001088,00:00:00
001089,00:01:26
001090,00:01:35
001091,00:00:25
001092,00:12:17
001093,00:08:52
001094,00:03:42
001095,00:04:08
001096,00:13:18
001097,00:00:27
001098,00:00:00
001099,00:02:02
001100,00:00:53
001101,00:00:07
001102,00:01:04
001103,00:00:00
001104,00:04:48
001105,00:00:00
001106,00:00:21
001107,00:00:00
001108,00:00:00
001109,00:00:00
001110,00:00:00
001111,00:00:00
001112,00:00:00
001113,00:00:00
001114,00:00:54
001115,00:00:06
001116,00:01:16
001117,00:02:29
001118,00:00:00
001119,00:00:21
001120,00:00:00
001121,00:00:00
001122,00:00:00
001123,00:00:00
001124,00:00:00
001125,00:00:00
001126,00:00:00
001127,00:01:26
001128,00:00:22
001129,00:00:00
001130,00:00:00
001131,00:00:00
001132,00:00:00
001133,00:00:00
001134,00:00:00
001135,00:00:00
001136,00:00:00
001137,00:00:00
001138,00:00:00
001139,00:00:37
001140,00:02:58
001141,00:00:00
001142,00:00:00
001143,00:00:00
001144,00:03:23
001145,00:00:00
001146,00:00:00
001147,00:02:09
001148,00:00:00
001149,00:00:45
001150,00:00:00
001151,00:00:00
001152,00:00:00
001153,00:00:10
001154,00:00:00
001155,00:00:00
001156,00:00:00
001157,00:00:00
001158,00:01:37
001159,00:00:00
001160,00:00:00
001161,00:00:00
001162,00:08:46
001163,00:00:00
001164,00:00:00
001165,00:00:00
001166,00:00:19
001167,00:00:09
001168,00:27:04
001169,00:00:19
001170,00:00:00
001171,00:00:06
001172,00:08:24
001173,00:00:40
001174,00:00:10
001175,00:01:25
001176,00:00:00
001177,00:00:00
001178,00:00:38
001179,00:00:00
001180,00:00:00
001181,00:00:00
001182,00:00:00
001183,00:00:00
001184,00:00:30
001185,00:00:00
001186,00:00:00
001187,00:00:00
001188,00:00:00
001189,00:00:00
001190,00:00:42
001191,00:00:00
001192,00:00:00
001193,00:08:08
001194,00:00:00
001195,00:00:00
001196,00:00:00
001197,00:03:06
001198,00:02:45
001199,00:00:00
001200,00:00:00
001201,00:00:00
001202,00:00:00
001203,00:00:00
001204,00:00:00
001205,00:00:00
001206,00:00:00
001207,00:00:00
001208,00:00:00
001209,00:00:14
001210,00:00:00
001211,00:00:00
001212,00:00:00
001213,00:00:00
001214,00:00:20
001215,00:00:00
001216,00:00:00
001217,00:00:00
001218,00:00:00
001219,00:00:00
001220,00:02:23
001221,00:00:14
001222,00:00:00
001223,00:00:14
001224,00:00:17
001225,00:00:08
001226,00:00:00
001227,00:00:00
001228,00:00:00
001229,00:00:00
001230,00:00:00
001231,00:00:00
001232,00:02:58
001233,00:00:00
001234,00:00:49
001235,00:00:21
001236,00:00:00
001237,00:00:00
001238,00:01:29
001239,00:00:00
001240,00:08:48
001241,00:11:17
001242,00:05:05
001243,00:00:11
001244,00:01:26
001245,00:07:01
001246,00:00:00
001247,00:02:09
001248,00:02:37
001249,00:00:38
001250,00:00:00
001251,00:00:00
001252,00:00:00
001253,00:00:00
001254,00:00:00
001255,00:00:00
001256,00:00:06
001257,00:00:00
001258,00:00:00
001259,00:00:00
001260,00:00:00
001261,00:00:00
001262,00:01:12
001263,00:00:00
001264,00:12:57
001265,00:01:34
001266,00:00:00
001267,00:00:00
001268,00:00:00
001269,00:00:00
001270,00:00:28
001271,00:00:00
001272,00:00:00
001273,00:00:00
001274,00:00:00
001275,00:00:00
001276,00:00:00
001277,00:00:00
001278,00:00:10
001279,00:00:00
001280,00:00:00
001281,00:00:00
001282,00:00:00
001283,00:00:00
001284,00:00:00
001285,00:00:30
001286,00:00:51
001287,00:00:00
001288,00:00:00
001289,00:00:00
001290,00:00:00
001291,00:00:00
001292,00:00:51
001293,00:00:00
001294,00:00:13
001295,00:02:59
001296,00:03:40
001297,00:03:48
001298,00:01:33
001299,00:04:11
001300,00:04:20
001301,00:06:25
001302,00:02:47
001303,00:01:03
001304,00:01:57
001305,00:01:36
001306,00:01:11
001307,00:01:46
001308,00:01:46
001309,00:01:56
001310,00:01:21
001311,00:01:30
001312,00:02:10
001313,00:03:44
001314,00:01:56
001315,00:00:50
001316,00:04:08
001317,00:04:03
001318,00:02:07
001319,00:01:15
001320,00:01:04
001321,00:00:06
001322,00:00:52
001323,00:01:40
001324,00:00:00
001325,00:00:00
001326,00:00:00
001327,00:00:00
001328,00:01:49
001329,00:00:00
001330,00:00:11
001331,00:00:00
001332,00:01:25
001333,00:02:50
001334,00:00:00
001335,00:00:09
001336,00:00:00
001337,00:02:44
001338,00:00:23
001339,00:05:05
001340,00:00:00
001341,00:01:57
001342,00:05:34
001343,00:00:00
001344,00:00:00
001345,00:03:00
001346,00:00:00
001347,00:00:00
001348,00:00:00
001349,00:00:00
001350,00:00:00
001351,00:00:00
001352,00:00:00
001353,00:00:00
001354,00:02:09
001355,00:00:00
001356,00:00:00
001357,00:01:06
001358,00:00:00
001359,00:00:00
001360,00:00:04
001361,00:02:31
001362,00:00:00
001363,00:00:00
001364,00:00:00
001365,00:00:00
001366,00:53:58
001367,00:03:06
001368,00:00:20
001369,00:08:56
001370,00:00:00
001371,00:00:00
001372,00:00:00
001373,00:00:00
001374,00:00:00
001375,00:00:00
001376,00:00:00
001377,00:00:00
001378,00:14:32
001379,00:00:00
001380,00:00:00
001381,00:00:46
001382,00:00:00
001383,00:02:46
001384,00:04:22
001385,00:03:32
001386,00:00:04
001387,00:01:00
001388,00:04:22
001389,00:07:25
001390,00:01:00
001391,00:03:44
001392,00:00:08
001393,00:00:00
001394,00:00:00
001395,00:00:00
001396,00:00:00
001397,00:00:00
001398,00:00:00
001399,00:00:00
001400,00:00:00
001401,00:00:34
001402,00:02:46
001403,00:00:49
001404,00:00:00
001405,00:00:00
001406,00:00:00
001407,00:00:00
001408,00:00:00
001409,00:00:00
001410,00:00:57
001411,00:03:26
001412,00:00:18
001413,00:05:17
001414,00:00:12
001415,00:11:31
001416,00:39:17
001417,00:01:48
001418,00:00:00
001419,00:00:00
001420,00:00:00
001421,00:00:00
001422,00:00:00
001423,00:00:00
001424,00:00:00
001425,00:00:00
001426,00:00:00
001427,00:24:23
001428,00:10:15
001429,00:00:00
001430,00:00:00
001431,00:04:19
001432,00:06:19
001433,00:02:56
001434,00:26:31
001435,00:00:15
001436,00:00:00
001437,00:01:17
001438,00:01:06
001439,00:09:47
001440,00:00:46
001441,00:00:18
001442,00:00:00
001443,00:00:00
001444,00:00:00
001445,00:00:00
001446,00:00:00
001447,00:20:59
001448,00:00:00
001449,00:00:00
001450,00:00:26
001451,00:08:44
001452,00:00:00
001453,00:01:12
001454,00:00:00
001455,00:00:00
001456,00:12:14
001457,00:05:08
001458,00:00:39
001459,00:05:07
001460,00:03:01
001461,00:01:28
001462,00:01:21
001463,00:02:18
001464,00:04:04
001465,00:00:44
001466,00:00:00
001467,00:00:00
001468,00:00:00
001469,00:00:00
001470,00:00:00
001471,00:00:00
001472,00:00:00
001473,00:00:00
001474,00:02:48
001475,00:09:26
001476,00:01:51
001477,00:00:36
001478,00:11:37
001479,00:00:23
001480,00:01:47
001481,00:02:14
001482,00:03:33
001483,00:04:01
001484,00:05:11
001485,00:02:57
001486,00:00:35
001487,00:00:49
001488,00:00:27
001489,00:02:52
001490,00:01:21
001491,00:00:00
001492,00:00:00
001493,00:00:00
001494,00:00:00
001495,00:06:01
001496,00:03:40
001497,00:00:00
001498,00:08:54
001499,00:07:37
001500,00:13:01
001501,00:00:00
001502,00:02:07
001503,00:03:27
001504,00:02:40
001505,00:04:22
001506,00:11:47
001507,00:04:53
001508,00:09:31
001509,00:04:28
001510,00:02:23
001511,00:02:46
001512,00:05:21
001513,00:04:34
001514,00:06:18
001515,00:00:00
001516,00:00:00
001517,00:00:00
001518,00:09:19
001519,00:03:35
001520,00:09:00
001521,00:02:42
001522,00:06:22
001523,00:04:49
001524,00:01:47
001525,00:06:41
001526,00:07:05
001527,00:03:42
001528,00:02:35
001529,00:03:14
001530,00:02:57
001531,00:02:05
001532,00:06:08
001533,00:03:24
001534,00:02:40
001535,00:02:04
001536,00:04:35
001537,00:00:58
001538,00:04:34
001539,00:06:23
001540,00:00:00
